Source URL,Source object level,Destination URL,Destination object level,Last job start time,Last job end time,Last job status,Last job comment,Migrated size (GB),Successful objects,Objects with exceptions,Error objects,Skipped objects,Filtered out objects,Objects with ignored errors,Comment
https://ourvolaris.sharepoint.com/sites/GRPUserfeedbackrecordings-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPUserfeedbackrecordings,Site collection,2026-05-21 07:17:24 (UTC+00:00),2026-05-21 07:24:10 (UTC+00:00),Finished,, < 0.01,13,0,0,0,2,0,
https://ourvolaris.sharepoint.com/sites/GRPTestSNCFExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPTestSNCF,Site collection,2026-05-21 07:17:23 (UTC+00:00),2026-05-21 08:18:23 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",50.34,2151,0,502,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPTerminaisons-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPTerminaisons,Site collection,2026-05-21 07:17:23 (UTC+00:00),2026-05-21 07:30:16 (UTC+00:00),Finished,, < 0.01,13,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPTaskPlanner-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPTaskPlanner,Site collection,2026-05-21 07:17:58 (UTC+00:00),2026-05-21 07:23:54 (UTC+00:00),Finished,, < 0.01,9,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPSysAdminExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPSysAdmin,Site collection,2026-05-21 07:17:59 (UTC+00:00),2026-05-21 07:30:07 (UTC+00:00),Finished,, < 0.01,55,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPSupportExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPSupport,Site collection,2026-05-21 07:17:59 (UTC+00:00),2026-05-21 08:41:42 (UTC+00:00),Exceptions,"Some objects failed in the migration. For additional error details, click on the error tab at the top. Follow the recommendations on how to resolve and try to run the job again.",0.22,22922,1,19,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPRARS2ExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPRARS2,Site collection,2026-05-21 07:18:27 (UTC+00:00),2026-05-21 07:35:38 (UTC+00:00),Finished,,0.02,751,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPRapport-ExPretio-,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPRapport,Site collection,2026-05-21 07:18:25 (UTC+00:00),2026-05-21 07:30:25 (UTC+00:00),Finished,,0.67,87,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPQL2extExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPQL2ext,Site collection,2026-05-21 07:18:26 (UTC+00:00),2026-05-21 07:36:02 (UTC+00:00),Finished,, < 0.01,81,0,0,0,0,0,
https://ourvolaris.sharepoint.com/sites/GRPQL2_XOXCSExPretio,Site collection,https://mbuexpretio.sharepoint.com/sites/GRPQL2_XOXCS,Site collection,2026-05-21 07:18:28 (UTC+00:00),2026-05-21 07:29:11 (UTC+00:00),Finished,,0.08,237,0,0,0,0,0,
